N,Tiempo_Segundos
10,0.0001281000004382804
50,0.0007720999929006211
100,0.0026889000000664964
200,0.011006599997926969
400,0.03940760000114096
600,0.078251500002807
800,0.1379497000016272
1000,0.2096772000004421
1200,0.2895005000027595
1500,0.5538098999968497
1800,0.6571598000009544
2100,0.9501664999988861
2400,1.1530210999990231
2700,1.5312134999985574
3000,2.126145299997006
3300,2.6323254000017187
3600,3.120686199996271
3900,3.855941800000437
4200,4.571087399999669
4500,4.620089299998654
4800,5.556775899996865
5100,5.982220900004904
5400,6.706694199994672
5700,8.15842029999476
6000,10.010517300004722
6300,11.390929400004097
6600,13.274094799999148
6900,13.872546300000977
7200,18.195147400001588
7500,20.348783600005845
7800,17.79000559999986
8100,18.459095099999104
8400,29.408475300006103
8700,27.808212999996613
9000,33.1058841999984
9300,32.51417009999568
9600,38.87683209999523
9900,37.1565952000019
10200,53.770090199999686
10500,60.91846049999003
10800,88.34760090000054
11100,140.52280690000043
11400,282.1734007999912
12000,393.01941939999233
